date,300308,301511,688048,688256,x0_sim,x1_sim,x2_sim,x3_sim
2024-06-24,0.22430499169446813,0.12157711754791672,0.11903797187321001,0.02819078930916131,0.02819078930916131,0.02819078930916131,0.02819078930916131,0.02819078930916131
2024-06-25,0.21128068212371706,0.12407085489004227,0.09677995532768068,0.00981509323900231,0.00981509323900231,0.02819078930916131,0.02819078930916131,0.02819078930916131
2024-06-26,0.22379957517738566,0.14152396770669975,0.10602313463510328,0.021549666610640388,0.021549666610640388,0.028186654777545523,0.02819078930916131,0.02819078930916131
2024-06-27,0.21436701194749141,0.13338961438185926,0.09119860279881005,0.012714039111033523,0.012714039111033523,0.028181234580442586,0.028190788378891694,0.02819078930916131
2024-06-28,0.21865128623329555,0.13843586081391407,0.09346355914046871,0.012836941541244732,0.012836941541244732,0.02817260742381883,0.02819078534574022,0.02819078930874269
2024-07-01,0.2354077311028745,0.1412873775290981,0.08728066646671849,0.02528124611004829,0.02528124611004829,0.028160965190235112,0.028190778375105564,0.02819078930656165
2024-07-02,0.2370571406367046,0.1563452056965076,0.07829810274968617,0.00940221753045729,0.00940221753045729,0.028149263839504134,0.02819076504749562,0.028190789299570505
2024-07-03,0.2321312455994822,0.16552322261691085,0.08142987234225454,0.006292222956536321,0.006292222956536321,0.028133938808661968,0.028190743053951094,0.028190789282015485
2024-07-04,0.2309772092563018,0.14435075334682296,0.06698988161958172,0.002024117641004669,0.002024117641004669,0.028114478424250373,0.02819070938952992,0.028190789244535587
2024-07-05,0.22739545716811313,0.13338961438185926,0.06698988161958172,0.0006336190886312336,0.0006336190886312336,0.028090137879850315,0.028190660274329992,0.02819078917299493
2024-07-08,0.23421778230892654,0.1370014200968386,0.057929272936578284,0.0,0.0,0.028060859263480994,0.0281905910263535,0.02819078904702691
2024-07-09,0.2566890244688298,0.14831701908143632,0.07728535673505178,0.030217123220931914,0.030217123220931914,0.028026760074242506,0.028190496095683838,0.028190788838247986
2024-07-10,0.2636180797317882,0.15838042793107884,0.08098422430337822,0.03760682216543333,0.03760682216543333,0.02799489551677877,0.02819036913680991,0.02819078850817385
2024-07-11,0.25434035140576117,0.16508100625228223,0.08684256361971011,0.018894852940893898,0.018894852940893898,0.02796683085224868,0.02819020463867373,0.02819078800588631
2024-07-12,0.24735236953523362,0.15543688327252325,0.08409166429227447,0.01432928854225923,0.01432928854225923,0.027938178485016982,0.02818999823760003,0.0281907872661979
2024-07-15,0.2461360689627861,0.14435075334682296,0.0798675633555524,0.03190131737235887,0.03190131737235887,0.02790795339535408,0.028189745674667123,0.02819078620843104
2024-07-16,0.24282554633488385,0.14762031938356182,0.08475389586778756,0.10608594889321121,0.10608594889321121,0.027880201470331992,0.02818944257073811,0.02819078473531233
2024-07-17,0.22789555418050816,0.13771936888009387,0.07863502106844905,0.10297978629702555,0.10297978629702555,0.02787150301397875,0.02818908534474499,0.028190782731875495
2024-07-18,0.22379957517738566,0.14294018934053157,0.07491058381884483,0.11280513198584491,0.11280513198584491,0.027880210300206282,0.028188674905939202,0.028190780064786296
2024-07-19,0.21148063607816064,0.14294018934053157,0.09528619906851578,0.13524267385341499,0.13524267385341499,0.027907659734037995,0.028188216058198157,0.028190776583730075
2024-07-22,0.2105297052588732,0.14458530046997853,0.10027541429702105,0.13039307203755116,0.13039307203755116,0.027957950199527917,0.02818771760378947,0.028190772124490174
2024-07-23,0.20118002341891336,0.1336315542398893,0.07874725364107786,0.1038322534398116,0.1038322534398116,0.028028825741822857,0.02818719306170242,0.028190766513677953
