code,name,total_mv_start,total_mv_end,mv_ratio,total_share_start,total_share_end,share_ratio,close_start,close_end,adj_price_ratio,raw_close_start,raw_close_end,raw_price_ratio
603268,松发股份,166137.8544,13819029.1005,83.17808816303095,12416.88,97077.8303,7.818214422624686,19.36,199.8947,10.325139462809918,13.38,142.35,10.639013452914797
603256,宏和科技,562145.8725,22424696.856,39.89124167410834,87972.75,90458.6445,1.0282575513440242,6.771,248.4355,36.69110914192881,6.39,247.9,38.79499217527387
301377,鼎泰高科,678550.0,24684774.0,36.37871048559428,41000.0,41141.2934,1.003446180487805,16.77,602.0369,35.89963625521765,16.55,600.0,36.25377643504532
688585,上纬新材,206877.5136,6389249.328,30.884213643217333,40327.0007,40336.1728,1.0002274431482827,5.253,158.5953,30.19137635636779,5.13,158.4,30.87719298245614
002379,宏桥控股,684096.9993,21097380.3658,30.83974990006947,113637.3753,1303111.8202,11.46728192867721,48.3,131.5227,2.7230372670807452,6.02,16.19,2.68936877076412
300209,行云科技,91175.1833,2796123.2971,30.667591727232644,42210.733,92863.6126,2.1999999999999997,7.06,118.1503,16.73516997167139,2.16,30.11,13.939814814814813
301396,宏景科技,192116.245,5330130.08,27.744296584601685,10965.5391,21492.4565,1.959999987597509,21.504,584.6756,27.18915550595238,17.52,248.0,14.155251141552512
601869,长飞光纤,1831098.7409,47238609.1958,25.797958428272324,75790.5108,82790.5108,1.092359847243568,26.187,574.2518,21.9288883797304,24.16,570.58,23.616721854304636
688313,仕佳光子,444579.4558,9038822.0274,20.33117344825361,45880.2328,45198.6328,0.9851439289122352,9.8,200.6091,20.47031632653061,9.69,199.98,20.637770897832816
688498,源杰科技,1222101.881,22637889.549,18.52373349632378,8546.167,12450.0377,1.4567978486729785,200.85,3690.7838,18.375821757530495,143.0,1818.3,12.715384615384615
301217,铜冠铜箔,780103.6269,14243315.3055,18.258234950272605,82901.5544,82901.5544,1.0,9.72,172.2098,17.717057613168723,9.41,171.81,18.258235919234856
600105,永鼎股份,502818.4316,9136005.5052,18.16959150866577,139284.8841,146199.4802,1.0496435499421146,40.172,625.8967,15.58042168674699,3.61,62.49,17.310249307479225
000657,中钨高新,1323317.074,23355695.1,17.649356725522004,139737.8114,227860.44,1.6306283726438842,57.63,625.0471,10.845863265660245,9.47,102.5,10.823653643083421
002636,金安国纪,449176.0,7908992.0,17.60777957860616,72800.0,72800.0,1.0,17.025,284.1705,16.69136563876652,6.17,108.64,17.60777957860616
603226,菲林格尔,112335.3993,1920722.1954,17.09810271177805,35549.177,35549.177,1.0,13.781,215.6936,15.651520208983383,3.16,54.03,17.098101265822784
600292,电投水电,367764.7552,6250554.2474,16.9960665317175,78081.689,438020.6201,5.609773888215968,20.783,53.7224,2.584920367608141,4.71,14.27,3.029723991507431
002289,*ST宇顺,80152.5676,1291128.7959,16.10838971925835,28025.3733,28025.3733,1.0,4.74,69.6159,14.686898734177214,2.86,46.07,16.10839160839161
300548,长芯博创,552500.129,8427710.8692,15.253771767354648,28701.3054,29465.4628,1.0266244823832995,54.054,775.184,14.34091834091834,19.25,286.02,14.858181818181817
002384,东山精密,3243618.3193,46709654.465,14.400478067061952,170986.7327,183160.7532,1.0711986263949473,142.78,1843.2817,12.909943269365458,18.97,255.02,13.443331576172906
001309,德明利,1244151.9273,17127069.6456,13.766059650583315,14758.6231,22684.5658,1.5370380858902752,153.795,1926.0412,12.523431841087161,84.3,755.01,8.956227758007117
600397,江钨装备,176212.859,2419461.9956,13.730337327992618,98995.9882,98995.9882,1.0,8.464,83.4662,9.861318525519849,1.78,24.44,13.730337078651687
688257,新锐股份,262925.5256,3599861.1144,13.691561921137412,18095.3562,35438.6792,1.9584405417783377,29.882,390.6368,13.072645739910312,14.53,101.58,6.991052993805919
600234,科新发展,56179.4882,759735.774,13.523365882140592,26252.0973,26252.0973,1.0,5.033,68.0666,13.5240611961057,2.14,28.94,13.523364485981308
688519,南亚新材,579946.4312,7831507.32,13.503846042806721,24094.16,23518.0442,0.9760889858787358,24.754,334.3254,13.505914195685545,24.07,333.0,13.834648940589945
301319,唯特偶,246411.144,3282414.5264,13.320885058672507,8502.8,18184.1146,2.138603118972574,44.121,555.9658,12.600933795698191,28.98,180.51,6.228778467908902
301200,大族数控,1275120.0,16941186.2232,13.285954438170526,42000.0,48900.7741,1.1643041452380953,33.61,351.7555,10.46579886938411,30.36,346.44,11.411067193675889
300125,*ST聆达,48167.9991,629228.25,13.063200916726474,26759.9995,66584.9987,2.4882286974631667,8.72,54.3891,6.237282110091742,1.8,9.45,5.249999999999999
