code,latest_num,prev_num,change_pct,date,close,vol_ratio,ret_5d,ret_20d,dd_20d,name
688256,68582.0,66525.0,3.0920706501315296,20260331,2107.0792,1.0205192012994,8.111001350900603,0.15444213648442132,-6.266171202429033,寒武纪
688041,108573.0,104580.0,3.8181296615031557,20260331,317.6086,0.8688202185838719,7.75894271525506,-7.015077436543013,-7.015077436543013,海光信息
300308,154418.0,183356.0,-15.782412356290495,20260331,8289.1919,0.9850843792381613,4.961180710351803,18.7334517918825,-5.231746175036498,中际旭创
300502,155489.0,139475.0,11.481627531815738,20260331,8927.4421,1.066903318694683,0.5464480074239692,10.536381346612396,-5.069822223307791,新易盛
300394,196969.0,183182.0,7.526394514744898,20260508,3873.0845,0.9529695433034734,-4.20375093617581,7.200265822073576,-12.218984491225726,天孚通信
601138,722584.0,732173.0,-1.3096631533804168,20260331,77.4567,0.9391199598108776,1.6460111492551426,5.877359651161203,-8.038158785187655,工业富联
603019,411138.0,405865.0,1.2992004730637035,20260331,348.7911,1.1791325646989916,3.066178862797624,-7.082205575209924,-7.082205575209924,中科曙光
000977,310000.0,280000.0,10.714285714285714,20260529,472.5075,0.8548499852541198,2.7287363044113926,-5.1361199783171685,-5.1361199783171685,浪潮信息
688048,29405.0,28373.0,3.6372607760899447,20260331,510.6618,0.8071574685149954,4.454765473634611,9.586428893323895,-4.927619875653819,长光华芯
688766,18575.0,17490.0,6.203544882790165,20260331,2872.8904,1.2120502236974595,45.398137861115345,74.86873084161756,0.0,普冉股份
300857,36816.0,31965.0,15.175973721257627,20260331,602.1938,1.291832416785835,29.052636316197212,18.831914847433005,-3.25431604740169,协创数据
600183,171634.0,118596.0,44.72157576984046,20260331,1284.747,1.0848733112914761,-6.426979333478858,30.77037391406135,-9.013547328398504,生益科技
688519,12809.0,11119.0,15.199208561921035,20260331,334.3254,0.9979519293514671,-6.576169148278588,64.34177345858342,-16.120921209834304,南亚新材
603186,28314.0,26174.0,8.176052571253917,20260410,233.7896,0.80189051473678,12.394469253841553,74.19685567394382,-7.05887076672686,华正新材
301511,56714.0,59859.0,-5.254013598623432,20260529,196.3085,1.2537261941669917,-17.420284368164225,30.48782919663392,-17.420284368164225,德福科技
603773,29195.0,23660.0,23.393913778529164,20260331,377.9463,0.930443521915086,13.983992925956581,87.72011821094196,0.0,沃格光电
605376,18332.0,13461.0,36.186018869326205,20260331,225.8097,0.9536499244915311,5.164334335565067,40.3154787795936,-8.902336445770374,博迁新材
300179,44211.0,45701.0,-3.2603225312356403,20260331,350.2063,1.542524216547719,29.111930878063326,49.81703143448724,-0.8524778224402306,四方达
