date,branch_a_x0_sim,branch_a_x1_sim,branch_a_x2_sim,branch_b_x0_sim,branch_b_x1_sim,branch_b_x2_sim,branch_b_x3_sim,branch_c_x0_sim,branch_c_x1_sim,branch_c_x2_sim
2024-06-24,0.02819078930916131,0.02819078930916131,0.02819078930916131,0.06346893615966578,0.06346893615966578,0.06346893615966578,0.06346893615966578,0.12157711754791672,0.12157711754791672,0.12157711754791672
2024-06-25,0.00981509323900231,0.00981509323900231,0.00981509323900231,0.052044221045987736,0.052044221045987736,0.052044221045987736,0.052044221045987736,0.12407085489004227,0.12407085489004227,0.12407085489004227
2024-06-26,0.021549666610640388,-0.008017478809378593,-0.008017478809378593,0.0691647870430413,0.04106753397598334,0.04106753397598334,0.04106753397598334,0.14152396770669975,0.1264429465081617,0.1264429465081617
2024-06-27,0.012714039111033523,-0.02531132768572065,-0.025322979762733462,0.06283097804075774,0.030525271893470943,0.030521305222449703,0.030521305222449703,0.13338961438185926,0.12870263680809937,0.12869932634003142
2024-06-28,0.012836941541244732,-0.042079047545138415,-0.04211697889316986,0.0657993640385574,0.020400992098983134,0.020388654627094473,0.020388654067093857,0.13843586081391407,0.13085312643496574,0.1308456403164057
2024-07-01,0.02528124611004829,-0.05832954295245976,-0.0584145737684422,0.0691647870430413,0.01068015032483146,0.010653364620297595,0.010653361780733615,0.1412873775290981,0.13290037698818846,0.13288725933661863
2024-07-02,0.00940221753045729,-0.07406681159572373,-0.0742303993127678,0.06325639760208651,0.0013487709051033508,0.001299854473308983,0.0012998456632676903,0.1563452056965076,0.1348495998301809,0.13482929294408286
2024-07-03,0.006292222956536321,-0.08930610956326203,-0.08957863309699152,0.05650478121931411,-0.007607939072401903,-0.007686844449584455,-0.007686865898084577,0.16552322261691085,0.13670845272112064,0.1366766021200598
2024-07-04,0.002024117641004669,-0.10405741810949928,-0.10447300970648254,0.046538645345239986,-0.016204365453389602,-0.01632111267031959,-0.016321157392151297,0.14435075334682296,0.13848294806307923,0.1384338126364969
2024-07-05,0.0006336190886312336,-0.11833108563696954,-0.11892683087601073,0.04952360274637434,-0.024454835719479977,-0.024616765661654043,-0.024616849207156687,0.13338961438185926,0.1401721599256426,0.14010532713841703
2024-07-08,0.0,-0.13213622349979082,-0.13295297595561079,0.038699966368731874,-0.03237133697785366,-0.032587076078935066,-0.03258721975092548,0.1370014200968386,0.1417774676874717,0.14169533368878423
2024-07-09,0.030217123220931914,-0.14548157621551633,-0.14656391142501124,0.06208776172585835,-0.039967384068005485,-0.040244794866379795,-0.04024502670339204,0.14831701908143632,0.14330340132349684,0.1432078150028403
2024-07-10,0.03760682216543333,-0.15836367067787976,-0.1597717001631313,0.06197876569395977,-0.04725117833713239,-0.04760217182513018,-0.04760252743540005,0.15838042793107884,0.1447559787402753,0.1446465587053271
2024-07-11,0.018894852940893898,-0.1707883387173722,-0.1725880011320575,0.06769593171752787,-0.05423396246935412,-0.054670974695444866,-0.05467149862652955,0.16508100625228223,0.1461406654358061,0.14601516782624457
2024-07-12,0.01432928854225923,-0.18277173241904968,-0.18502407672265903,0.0651651513833017,-0.06092575999344721,-0.061462507988184,-0.061463255113210685,0.15543688327252325,0.14746193652640519,0.147317070623141
2024-07-15,0.03190131737235887,-0.19432414948849722,-0.19709080832985076,0.05780016363487899,-0.06733740879156899,-0.06798763097128116,-0.06798866799730431,0.14435075334682296,0.14872047416691622,0.14855552956619514
2024-07-16,0.10608594889321121,-0.20544705322268247,-0.20879870715350676,0.06208776172585835,-0.07348004569718058,-0.07425677512890183,-0.07425818204411634,0.14762031938356182,0.1499166243130417,0.14973364829258354
2024-07-17,0.10297978629702555,-0.21611975040386325,-0.2201579180088334,0.049851165384163655,-0.07936276555234589,-0.08027996103873114,-0.0802818323977283,0.13771936888009387,0.1510538814391477,0.1508543781437425
2024-07-18,0.11280513198584491,-0.2263528362913753,-0.23117820584963417,0.040845492421206615,-0.08499667803093136,-0.08606681435731778,-0.08606926064046197,0.14294018934053157,0.15213269172635366,0.15192052583287707
2024-07-19,0.13524267385341499,-0.2361517097492194,-0.24186896765016838,0.042302621697250714,-0.09039203788985259,-0.09162658151893412,-0.09162973022217712,0.14294018934053157,0.15315681268212247,0.15293475946366564
2024-07-22,0.13039307203755116,-0.24551685211936303,-0.2522392401301738,0.04185407772085298,-0.09555725593401419,-0.09696814475179165,-0.09697214128419114,0.14458530046997853,0.15412868510129185,0.15389961576997505
2024-07-23,0.1038322534398116,-0.2544596996268833,-0.2622977036596287,0.023132492018788836,-0.10050071634501596,-0.10210003629660663,-0.10210504490161508,0.1336315542398893,0.155051003936949,0.15481750648202455
2024-07-24,0.12425642663191493,-0.263000116587764,-0.2720526949633596,0.020888562457776295,-0.10523308724977122,-0.10703045211335642,-0.10703665676690646,0.13915090179875575,0.15592357852393102,0.15569072454846652
2024-07-25,0.11567842818067782,-0.2711390615340989,-0.281512226363827,0.014330793528958509,-0.10976232331804828,-0.11176726542055694,-0.11177487033655874,0.13483877310313494,0.1567498555755406,0.15652144884024205
2024-07-26,0.10753282573402582,-0.27888909408797663,-0.29068398980973503,0.021482237989851674,-0.11409670630799759,-0.1163180393661468,-0.1163272694620915,0.12456749585059192,0.15753096654163587,0.1573117502719611
2024-07-29,0.10064275626782986,-0.28626242537460667,-0.29957537018179614,0.02535858215157758,-0.11824228653753857,-0.12069003929149141,-0.12070114052557628,0.11755013841870873,0.15826669052932052,0.15806359665561714
2024-07-30,0.09712849736188553,-0.2932705972195293,-0.308193458172569,0.02815598028577655,-0.12220536749465179,-0.1248902442415099,-0.12490348409916416,0.11628223026811298,0.15895754318068256,0.1587788567690882
2024-07-31,0.1286095473711642,-0.2999236600508569,-0.316545062489957,0.04241716815803816,-0.1259921850693009,-0.12892535809965314,-0.12894102614723976,0.12827020254598395,0.15960528872724847,0.1594593045930097
2024-08-01,0.11916290158489574,-0.3062177508556497,-0.32463672074678057,0.040845492421206615,-0.12960713865087714,-0.13280182031559712,-0.1328202287891186,0.1253111499695037,0.16021452645122972,0.1601066239307501
2024-08-02,0.09829222556312762,-0.3121654304317099,-0.3324746992759022,0.0289707561183269,-0.13305671645992623,-0.13652581599038688,-0.13654730063951165,0.11628223026811298,0.16078635985913825,0.16072241408726828
2024-08-05,0.07187059824454131,-0.31778356346378783,-0.3400650061095076,0.0033555390033176953,-0.13634863199634706,-0.14010328589700555,-0.14012820674324325,0.09963761706588109,0.16132051571841063,0.16130819377331962
